"INTERSECTION","FIRST APPROACH","SECOND APPROACH","THIRD APPROACH","GO LIVE DATE","LATITUDE","LONGITUDE","LOCATION"
"744 W Fullerton Ave","WB",,,"07/14/2009","41.9255","-87.6483","(41.9255, -87.6483)"
"1206 N Pulaski Rd","SB",,,"06/06/2009","41.9029","-87.7264","(41.9029, -87.7264)"
"4413 W North Ave","EB",,,"03/09/2004","41.90963","-87.7366","(41.90963, -87.7366)"
"6401 W Fullerton Ave","EB",,,"02/22/2006","41.92355","-87.78583","(41.92355, -87.78583)"
"7901 S South Chicago Ave","NWB",,,"05/04/2007","41.7513","-87.58509","(41.7513, -87.58509)"
"910 W Hollywood Ave","WB",,,"10/19/2008","41.9857","-87.6548","(41.9857, -87.6548)"
"3965 N Clark St","NWB",,,"07/19/2008","41.95414","-87.66197","(41.95414, -87.66197)"
"1891 N Ashland Ave","NB",,,"05/13/2009","41.91565","-87.66769","(41.91565, -87.66769)"
"4775 N Cicero Ave","NB",,,"10/30/2004","41.96769","-87.74762","(41.96769, -87.74762)"
"4812 N Pulaski Rd","SB",,,"07/28/2008","41.96854","-87.72815","(41.96854, -87.72815)"
"8690 S Vincennes Ave","SWB",,,"11/08/2004","41.7364","-87.64521","(41.7364, -87.64521)"
"1546 W 71st St","WB",,,"10/09/2004","41.765","-87.66324","(41.765, -87.66324)"
"922 W Foster Ave","WB",,,"01/24/2008","41.97648","-87.65453","(41.97648, -87.65453)"
"7901 S Western Ave","NB",,,"05/05/2007","41.74973","-87.6827","(41.74973, -87.6827)"
"3401 W Diversey Ave","EB",,,"08/09/2009","41.9319","-87.71258","(41.9319, -87.71258)"
"2410 N Central Ave","SB",,,"05/16/2007","41.92431","-87.76612","(41.92431, -87.76612)"
"2005 W Division St","EB",,,"06/27/2009","41.90311","-87.67764","(41.90311, -87.67764)"
"2807 W Irving Park Rd","EB",,,"02/02/2009","41.95388","-87.69863","(41.95388, -87.69863)"
"3946 W Roosevelt Rd","WB",,,"07/15/2009","41.86627","-87.72473","(41.86627, -87.72473)"
"2359 N Clark St","NWB",,,"02/08/2010","41.9253","-87.64018","(41.9253, -87.64018)"
"6678 S Western Ave","SB",,,"05/29/2008","41.77225","-87.68358","(41.77225, -87.68358)"
"4644 S Cicero Ave","SB",,,"03/28/2008","41.808","-87.74334","(41.808, -87.74334)"
"4401 W Ogden Ave","NEB",,,"05/21/2008","41.84749","-87.7348","(41.84749, -87.7348)"
"349 N La Salle Dr","NB",,,"04/27/2004","41.88892","-87.63233","(41.88892, -87.63233)"
"7154 W Belmont Ave","WB",,,"07/29/2008","41.93809","-87.80632","(41.93809, -87.80632)"
"2411 W 63rd St","EB",,,"11/10/2007","41.77917","-87.68406","(41.77917, -87.68406)"
"4401 W Roosevelt Rd","EB",,,"03/16/2004","41.86595","-87.7353","(41.86595, -87.7353)"
"3154 W 63rd St","WB",,,"11/24/2007","41.77907","-87.70275","(41.77907, -87.70275)"
"771 N Sacramento Blvd","NB",,,"10/17/2009","41.89529","-87.70209","(41.89529, -87.70209)"
"3190 W 31st St","WB",,,"05/21/2008","41.83732","-87.70445","(41.83732, -87.70445)"
"3954 W Cermak Rd","WB",,,"10/09/2004","41.85172","-87.72434","(41.85172, -87.72434)"
"14 N Halsted St","SB",,,"06/12/2008","41.882","-87.64748","(41.882, -87.64748)"
"1951 E 95th St","EB",,,"11/24/2007","41.72238","-87.57577","(41.72238, -87.57577)"
"753 N Cicero Ave","NB",,,"07/19/2009","41.89467","-87.7457","(41.89467, -87.7457)"
"2782 W Diversey Ave","WB",,,"10/03/2007","41.93221","-87.69716","(41.93221, -87.69716)"
"1549 N Western Ave","NB",,,"05/17/2009","41.90999","-87.68707","(41.90999, -87.68707)"
"1966 W Diversey Pkwy","WB",,,"10/17/2007","41.93237","-87.6777","(41.93237, -87.6777)"
"5210 N Pulaski Rd","SB",,,"10/16/2007","41.9757","-87.72835","(41.9757, -87.72835)"
"1569 N Halsted St","NB",,,"10/03/2007","41.91063","-87.64815","(41.91063, -87.64815)"
"5204 N Sheridan Rd","SB",,,"01/23/2008","41.97667","-87.65508","(41.97667, -87.65508)"
"6350 W Irving Pk Rd","WB",,,"10/12/2004","41.95296","-87.78619","(41.95296, -87.78619)"
"108 N Cicero Ave","SB",,,"06/12/2008","41.88214","-87.74548","(41.88214, -87.74548)"
"758 W 111th St","WB",,,"12/30/2005","41.69244","-87.64192","(41.69244, -87.64192)"
